Year,Month,Day,Amplitude,Station
2019,10,01,3.5,PUG1715
2019,10,02,3.2,PUG1715
2019,10,03,3.6,PUG1715
2019,10,04,3.5,PUG1715
2019,10,05,3.3,PUG1715
2019,10,06,3,PUG1715
2019,10,07,2.8,PUG1715
2019,10,08,2.8,PUG1715
2019,10,09,2.9000000000000004,PUG1715
2019,10,10,3,PUG1715
2019,10,11,3,PUG1715
2019,10,12,2.9,PUG1715
2019,10,13,2.9,PUG1715
2019,10,14,3,PUG1715
2019,10,15,3.2,PUG1715
2019,10,16,3.4000000000000004,PUG1715
2019,10,17,2.8,PUG1715
2019,10,18,3.5,PUG1715
2019,10,19,3.6,PUG1715
2019,10,20,3.5,PUG1715
2019,10,21,3.3,PUG1715
2019,10,22,3.0999999999999996,PUG1715
2019,10,23,3,PUG1715
2019,10,24,3.3,PUG1715
2019,10,25,3.5,PUG1715
2019,10,26,3.5,PUG1715
2019,10,27,3.5999999999999996,PUG1715
2019,10,28,3.9,PUG1715
2019,10,29,4.1,PUG1715
2019,10,30,4.199999999999999,PUG1715
2019,10,31,4.199999999999999,PUG1715
2019,11,01,3.2,PUG1715
2019,11,02,3.9000000000000004,PUG1715
2019,11,03,3.5,PUG1715
2019,11,04,3.1,PUG1715
2019,11,05,2.7,PUG1715
2019,11,06,2.7,PUG1715
2019,11,07,2.7,PUG1715
2019,11,08,2.8,PUG1715
2019,11,09,2.8,PUG1715
2019,11,10,3.1,PUG1715
2019,11,11,3.5,PUG1715
2019,11,12,3.8,PUG1715
2019,11,13,3.9,PUG1715
2019,11,14,4,PUG1715
2019,11,15,4.2,PUG1715
2019,11,16,4.1,PUG1715
2019,11,17,2.8,PUG1715
2019,11,18,4,PUG1715
2019,11,19,3.6,PUG1715
2019,11,20,3,PUG1715
2019,11,21,3.2,PUG1715
2019,11,22,3.2,PUG1715
2019,11,23,3.1999999999999997,PUG1715
2019,11,24,3.5,PUG1715
2019,11,25,4.1,PUG1715
2019,11,26,4.5,PUG1715
2019,11,27,4.6,PUG1715
2019,11,28,4.6,PUG1715
2019,11,29,4.5,PUG1715
2019,11,30,4.3,PUG1715
2019,12,01,3.8,PUG1715
2019,12,02,2.9,PUG1715
2019,12,03,3.1,PUG1715
2019,12,04,2.6,PUG1715
2019,12,05,2.6,PUG1715
2019,12,06,2.5,PUG1715
2019,12,07,2.5,PUG1715
2019,12,08,2.8,PUG1715
2019,12,09,3.3,PUG1715
2019,12,10,3.8,PUG1715
2019,12,11,4.1,PUG1715
2019,12,12,4.4,PUG1715
2019,12,13,4.5,PUG1715
2019,12,14,4.6,PUG1715
2019,12,15,4.4,PUG1715
2019,12,16,4.199999999999999,PUG1715
2019,12,17,3.1,PUG1715
2019,12,18,3.5,PUG1715
2019,12,19,3,PUG1715
2019,12,20,2.9,PUG1715
2019,12,21,2.7,PUG1715
2019,12,22,3,PUG1715
2019,12,23,3.7,PUG1715
2019,12,24,4.3,PUG1715
2019,12,25,4.7,PUG1715
2019,12,26,4.800000000000001,PUG1715
2019,12,27,4.6,PUG1715
2019,12,28,4.4,PUG1715
2019,12,29,4.1,PUG1715
2019,12,30,3.6,PUG1715
2019,12,31,2.7,PUG1715
