Year,Month,Day,Amplitude,Station
2019,10,01,3.7,PUG1746
2019,10,02,3.6,PUG1746
2019,10,03,2.8,PUG1746
2019,10,04,2.9,PUG1746
2019,10,05,2.5,PUG1746
2019,10,06,2.2,PUG1746
2019,10,07,2.3,PUG1746
2019,10,08,2.5,PUG1746
2019,10,09,2.6,PUG1746
2019,10,10,2.6,PUG1746
2019,10,11,2.5,PUG1746
2019,10,12,2.6,PUG1746
2019,10,13,2.8,PUG1746
2019,10,14,3.2,PUG1746
2019,10,15,3.4000000000000004,PUG1746
2019,10,16,3.5,PUG1746
2019,10,17,3.4000000000000004,PUG1746
2019,10,18,3.2,PUG1746
2019,10,19,2.2,PUG1746
2019,10,20,3,PUG1746
2019,10,21,2.7,PUG1746
2019,10,22,2.6,PUG1746
2019,10,23,2.6,PUG1746
2019,10,24,2.8,PUG1746
2019,10,25,3,PUG1746
2019,10,26,3.2,PUG1746
2019,10,27,3.5999999999999996,PUG1746
2019,10,28,4,PUG1746
2019,10,29,4,PUG1746
2019,10,30,3.8000000000000003,PUG1746
2019,10,31,3.5,PUG1746
2019,11,01,3.1,PUG1746
2019,11,02,2.5,PUG1746
2019,11,03,2.4,PUG1746
2019,11,04,2.2,PUG1746
2019,11,05,2.3,PUG1746
2019,11,06,2.3,PUG1746
2019,11,07,2.2,PUG1746
2019,11,08,2.2,PUG1746
2019,11,09,2.5,PUG1746
2019,11,10,2.8,PUG1746
2019,11,11,3.2,PUG1746
2019,11,12,3.5999999999999996,PUG1746
2019,11,13,3.6999999999999997,PUG1746
2019,11,14,3.8,PUG1746
2019,11,15,3.6,PUG1746
2019,11,16,3.4,PUG1746
2019,11,17,3.2,PUG1746
2019,11,18,2.7,PUG1746
2019,11,19,2.9000000000000004,PUG1746
2019,11,20,2.7,PUG1746
2019,11,21,2.8,PUG1746
2019,11,22,2.9,PUG1746
2019,11,23,3.4000000000000004,PUG1746
2019,11,24,3.1999999999999997,PUG1746
2019,11,25,3.9,PUG1746
2019,11,26,4,PUG1746
2019,11,27,3.9,PUG1746
2019,11,28,3.7,PUG1746
2019,11,29,3.3,PUG1746
2019,11,30,3,PUG1746
2019,12,01,2.6,PUG1746
2019,12,02,2.5,PUG1746
2019,12,03,2.3,PUG1746
2019,12,04,2.0999999999999996,PUG1746
2019,12,05,1.9,PUG1746
2019,12,06,2.1,PUG1746
2019,12,07,1.9,PUG1746
2019,12,08,2.9,PUG1746
2019,12,09,2.2,PUG1746
2019,12,10,3.3000000000000003,PUG1746
2019,12,11,3.5999999999999996,PUG1746
2019,12,12,3.6999999999999997,PUG1746
2019,12,13,3.8000000000000003,PUG1746
2019,12,14,3.8,PUG1746
2019,12,15,3.5999999999999996,PUG1746
2019,12,16,3.3,PUG1746
2019,12,17,3.1,PUG1746
2019,12,18,3,PUG1746
2019,12,19,3,PUG1746
2019,12,20,2.9,PUG1746
2019,12,21,3.1,PUG1746
2019,12,22,3.4000000000000004,PUG1746
2019,12,23,3,PUG1746
2019,12,24,3.5999999999999996,PUG1746
2019,12,25,3.6999999999999997,PUG1746
2019,12,26,3.6,PUG1746
2019,12,27,3.5,PUG1746
2019,12,28,3.3,PUG1746
2019,12,29,3,PUG1746
2019,12,30,2.7,PUG1746
2019,12,31,2.5,PUG1746
