Year,Month,Day,Amplitude,Station
2021,10,01,1.3,PCT2006
2021,10,02,1.5,PCT2006
2021,10,03,1.7000000000000002,PCT2006
2021,10,04,1.7999999999999998,PCT2006
2021,10,05,1.9,PCT2006
2021,10,06,1.7999999999999998,PCT2006
2021,10,07,1.9,PCT2006
2021,10,08,2.2,PCT2006
2021,10,09,2.5,PCT2006
2021,10,10,2.6,PCT2006
2021,10,11,1.9,PCT2006
2021,10,12,2.3,PCT2006
2021,10,13,2.1,PCT2006
2021,10,14,1.8,PCT2006
2021,10,15,1.7,PCT2006
2021,10,16,1.7,PCT2006
2021,10,17,1.7,PCT2006
2021,10,18,1.6,PCT2006
2021,10,19,1.6,PCT2006
2021,10,20,1.6,PCT2006
2021,10,21,1.9,PCT2006
2021,10,22,2.0999999999999996,PCT2006
2021,10,23,2.0999999999999996,PCT2006
2021,10,24,2.0999999999999996,PCT2006
2021,10,25,2,PCT2006
2021,10,26,1.4000000000000001,PCT2006
2021,10,27,1.7999999999999998,PCT2006
2021,10,28,1.6,PCT2006
2021,10,29,1.5,PCT2006
2021,10,30,1.4,PCT2006
2021,10,31,1.4,PCT2006
2021,11,01,1.5,PCT2006
2021,11,02,1.6,PCT2006
2021,11,03,1.6,PCT2006
2021,11,04,2.2,PCT2006
2021,11,05,2.7,PCT2006
2021,11,06,3,PCT2006
2021,11,07,3.1,PCT2006
2021,11,08,3,PCT2006
2021,11,09,2.8,PCT2006
2021,11,10,2.1,PCT2006
2021,11,11,2.2,PCT2006
2021,11,12,1.8,PCT2006
2021,11,13,1.6,PCT2006
2021,11,14,1.5,PCT2006
2021,11,15,1.5,PCT2006
2021,11,16,1.2999999999999998,PCT2006
2021,11,17,1.8,PCT2006
2021,11,18,2,PCT2006
2021,11,19,2.3,PCT2006
2021,11,20,2.4000000000000004,PCT2006
2021,11,21,2.5,PCT2006
2021,11,22,2.4,PCT2006
2021,11,23,2.3,PCT2006
2021,11,24,2.1,PCT2006
2021,11,25,1.9,PCT2006
2021,11,26,1.5,PCT2006
2021,11,27,1.7,PCT2006
2021,11,28,1.5,PCT2006
2021,11,29,1.5,PCT2006
2021,11,30,1.5,PCT2006
2021,12,01,1.5,PCT2006
2021,12,02,2.2,PCT2006
2021,12,03,2.8,PCT2006
2021,12,04,3.2,PCT2006
2021,12,05,3.4,PCT2006
2021,12,06,3.3,PCT2006
2021,12,07,3.0999999999999996,PCT2006
2021,12,08,2.8,PCT2006
2021,12,09,2.4,PCT2006
2021,12,10,2,PCT2006
2021,12,11,1.8,PCT2006
2021,12,12,1.6,PCT2006
2021,12,13,1.4,PCT2006
2021,12,14,1.2999999999999998,PCT2006
2021,12,15,1.6,PCT2006
2021,12,16,2,PCT2006
2021,12,17,2.2,PCT2006
2021,12,18,2.3,PCT2006
2021,12,19,2.4000000000000004,PCT2006
2021,12,20,2.5,PCT2006
2021,12,21,2.5,PCT2006
2021,12,22,2.4,PCT2006
2021,12,23,2.3,PCT2006
2021,12,24,2.1,PCT2006
2021,12,25,1.9,PCT2006
2021,12,26,1.7000000000000002,PCT2006
2021,12,27,1.6,PCT2006
2021,12,28,1.5,PCT2006
2021,12,29,1.9000000000000001,PCT2006
2021,12,30,1.4,PCT2006
2021,12,31,2.5,PCT2006
